config_name,model_family,model_size,quantization,adapter_type,is_finetuned,rag_name,rag_chunking,rag_retrieval,rag_bias,rag_pass_at_5,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,error_count,total_inference_time,avg_inference_time,rag_retrieval_time,rag_context_length,config_type
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_ultra_safe_NoRAG,SmolLM2-135M,8bit,unknown,ultra_safe,True,None,None,None,None,0.0,False,0.01,0.013584905660377358,0.011180124223602483,200,200,0,22.928121328353882,0.11464060664176941,0.0,0.0,Fine-tuned
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_ultra_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,8bit,unknown,ultra_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.085,0.09405871263129545,0.08440997194181957,200,200,0,89.0158326625824,0.445079163312912,0.0332745099067688,7082.415,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_ultra_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,8bit,unknown,ultra_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.05,0.043975393028024605,0.04613098602923363,200,200,0,90.15057897567749,0.45075289487838743,0.006279653310775757,6909.075,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_ultra_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,8bit,unknown,ultra_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.165,0.05327354260089687,0.08972809667673717,200,200,0,208.1242458820343,1.0406212294101715,0.4668037521839142,12635.875,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_balanced_safe_NoRAG,SmolLM2-135M,8bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.245,0.3339514193737196,0.2710822469854339,200,200,0,68.116219997406,0.34058109998703,0.0,0.0,Fine-tuned
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_balanced_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,8bit,unknown,balanced_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.25,0.3376247422680412,0.274296987087518,200,200,0,120.50214672088623,0.6025107336044312,0.03246589422225952,7082.415,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_balanced_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,8bit,unknown,balanced_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.255,0.344546818727491,0.278670194835839,200,200,0,122.63836288452148,0.6131918144226074,0.005978591442108154,6909.075,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_balanced_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,8bit,unknown,balanced_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.215,0.13543396226415094,0.14778814935064935,200,200,0,207.15002751350403,1.0357501375675202,0.46003583431243894,12635.875,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_NoRAG,SmolLM2-135M,8bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.075,0.061525974025974026,0.0656408345752608,200,200,0,59.84622883796692,0.2992311441898346,0.0,0.0,Fine-tuned
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top1_structured_contextual_diverse,SmolLM2-135M,8bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.2,0.26686537506209634,0.21548615363679663,200,200,0,111.1519033908844,0.555759516954422,0.03296172499656677,7082.415,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top2_structured_pure_diverse,SmolLM2-135M,8bit,unknown,performance_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.185,0.27005730883969226,0.20972514840553583,200,200,0,110.44261813163757,0.5522130906581879,0.006266024112701416,6909.075,Fine-tuned + RAG
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-135M,8bit,unknown,performance_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.17,0.11214109926168991,0.12337454059472101,200,200,0,206.65130233764648,1.0332565116882324,0.45746643662452696,12635.875,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_NoRAG,SmolLM2-360M,4bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.465,0.49970332480818414,0.4587011159143461,200,200,0,160.36465620994568,0.8018232810497284,0.0,0.0,Fine-tuned
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,4bit,unknown,balanced_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.255,0.255,0.255,200,200,0,224.29990601539612,1.1214995300769806,0.040338667631149294,7082.415,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,4bit,unknown,balanced_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.3,0.3,0.3,200,200,0,223.69105052947998,1.1184552526473999,0.0137306547164917,6909.075,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,4bit,unknown,balanced_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.22,0.1725944170771757,0.16887727759914256,200,200,0,269.481680393219,1.347408401966095,0.45643239736557006,12635.875,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_NoRAG,SmolLM2-360M,4bit,unknown,ultra_safe,True,None,None,None,None,0.0,False,0.05,0.04760905912752698,0.047992314593807664,200,200,0,162.55542850494385,0.8127771425247192,0.0,0.0,Fine-tuned
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,4bit,unknown,ultra_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.265,0.2896197927250559,0.2526008640345614,200,200,0,230.72962141036987,1.1536481070518494,0.042077476978302004,7082.415,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,4bit,unknown,ultra_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.295,0.32904219620162783,0.28563969020321583,200,200,0,226.43043208122253,1.1321521604061127,0.013939419984817505,6909.075,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,4bit,unknown,ultra_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.155,0.08986441133037992,0.10610750431722299,200,200,0,262.3576920032501,1.3117884600162506,0.4567568898200989,12635.875,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_NoRAG,SmolLM2-360M,4bit,unknown,high_capacity_safe,True,None,None,None,None,0.0,False,0.37,0.4012216748768473,0.3568525972781292,200,200,0,149.11698389053345,0.7455849194526672,0.0,0.0,Fine-tuned
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,4bit,unknown,high_capacity_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.295,0.295,0.295,200,200,0,221.84638285636902,1.1092319142818452,0.04020340085029602,7082.415,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,4bit,unknown,high_capacity_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.285,0.285,0.285,200,200,0,218.06863474845886,1.0903431737422944,0.011976190805435181,6909.075,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,4bit,unknown,high_capacity_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.28,0.2908342019646862,0.2561898874464661,200,200,0,266.6910207271576,1.333455103635788,0.4537568032741547,12635.875,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_NoRAG,SmolLM2-360M,4bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.275,0.3152642276422764,0.26886801016702977,200,200,0,151.2336232662201,0.7561681163311005,0.0,0.0,Fine-tuned
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,4bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.25,0.25,0.25,200,200,0,210.57826590538025,1.0528913295269013,0.03736179709434509,7082.415,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,4bit,unknown,performance_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.255,0.255,0.255,200,200,0,204.7032117843628,1.023516058921814,0.011185601949691773,6909.075,Fine-tuned + RAG
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,4bit,unknown,performance_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.195,0.18565648224607764,0.16821448124828908,200,200,0,260.71783781051636,1.3035891890525817,0.4526081883907318,12635.875,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_NoRAG,SmolLM2-360M,8bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.37,0.39763665768194073,0.35573940458306,200,200,0,134.59723019599915,0.6729861509799957,0.0,0.0,Fine-tuned
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,8bit,unknown,balanced_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.19,0.1801936253303089,0.1670970252290699,200,200,0,169.60557985305786,0.8480278992652893,0.0384119188785553,7082.415,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,8bit,unknown,balanced_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.155,0.1310984201092167,0.12981541158738466,200,200,0,165.08398580551147,0.8254199290275573,0.01078545093536377,6909.075,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,8bit,unknown,balanced_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.17,0.09806677399034086,0.11789953310457334,200,200,0,275.3222932815552,1.376611466407776,0.45377421140670776,12635.875,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_NoRAG,SmolLM2-360M,8bit,unknown,high_capacity_safe,True,None,None,None,None,0.0,False,0.455,0.455,0.455,200,200,0,137.16431975364685,0.6858215987682342,0.0,0.0,Fine-tuned
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,8bit,unknown,high_capacity_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.175,0.16882682004412228,0.15511729843190517,200,200,0,174.42674612998962,0.8721337306499481,0.03800654292106628,7082.415,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,8bit,unknown,high_capacity_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.175,0.16228458136342838,0.15113144597828979,200,200,0,175.60425329208374,0.8780212664604187,0.011494482755661012,6909.075,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,8bit,unknown,high_capacity_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.205,0.1658565449559821,0.1648922790264353,200,200,0,274.69713282585144,1.3734856641292572,0.4561660134792328,12635.875,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_NoRAG,SmolLM2-360M,8bit,unknown,ultra_safe,True,None,None,None,None,0.0,False,0.0,0.0,0.0,200,200,0,179.81499195098877,0.8990749597549439,0.0,0.0,Fine-tuned
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,8bit,unknown,ultra_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.28,0.2886587052168447,0.25599063962558505,200,200,0,208.4577100276947,1.0422885501384735,0.04024622082710266,7082.415,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,8bit,unknown,ultra_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.315,0.3316571428571429,0.292226148409894,200,200,0,211.85004591941833,1.0592502295970916,0.013337758779525756,6909.075,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,8bit,unknown,ultra_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.13,0.06837619896443427,0.09211759986963988,200,200,0,277.38023042678833,1.3869011521339416,0.4556201875209808,12635.875,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_NoRAG,SmolLM2-360M,8bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.365,0.365,0.365,200,200,0,135.62802147865295,0.6781401073932648,0.0,0.0,Fine-tuned
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top1_structured_contextual_diverse,SmolLM2-360M,8bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.125,0.16450982878883955,0.13262319230830152,200,200,0,125.79538297653198,0.6289769148826599,0.035758206844329836,7082.415,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top2_structured_pure_diverse,SmolLM2-360M,8bit,unknown,performance_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.105,0.13407627601037253,0.1096820205681863,200,200,0,123.24401378631592,0.6162200689315795,0.008306001424789428,6909.075,Fine-tuned + RAG
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top3_contextual_sentence_diverse,SmolLM2-360M,8bit,unknown,performance_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.19,0.15879332477535302,0.1545161290322581,200,200,0,270.79814052581787,1.3539907026290894,0.4548087060451508,12635.875,Fine-tuned + RAG
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_NoRAG,Gemma-270M,4bit,unknown,performance_safe,True,None,None,None,None,0.0,False,0.16,0.06384768400113669,0.09481116584564858,200,200,0,187.40644431114197,0.9370322215557099,0.0,0.0,Fine-tuned
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,Gemma-270M,4bit,unknown,performance_safe,True,top1_structured_contextual_diverse,structured_agent_tinfoil_medical,contextual_rag,diverse,0.595,True,0.17,0.06290584415584416,0.09568733952202252,200,200,0,212.72314453125,1.06361572265625,0.03681253314018249,7082.415,Fine-tuned + RAG
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top2_structured_pure_diverse,Gemma-270M,4bit,unknown,performance_safe,True,top2_structured_pure_diverse,structured_agent_tinfoil_medical,pure_rag,diverse,0.59,True,0.18,0.05562231759656653,0.09501466275659823,200,200,0,210.78785681724548,1.0539392840862274,0.009259459972381591,6909.075,Fine-tuned + RAG
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,Gemma-270M,4bit,unknown,performance_safe,True,top3_contextual_sentence_diverse,contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.525,True,0.175,0.05407725321888412,0.09237536656891496,200,200,0,229.0718424320221,1.1453592121601104,0.45251052975654604,12635.875,Fine-tuned + RAG
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_balanced_safe_NoRAG,Gemma-270M,4bit,unknown,balanced_safe,True,None,None,None,None,0.0,False,0.16,0.0654570285825773,0.09653099941014237,200,200,0,189.17476153373718,0.9458738076686859,0.0,0.0,Fine-tuned
